
---------- Begin Simulation Statistics ----------
final_tick                               118204828672                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 270644                       # Simulator instruction rate (inst/s)
host_mem_usage                                8595016                       # Number of bytes of host memory used
host_op_rate                                   323729                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   964.82                       # Real time elapsed on the host
host_tick_rate                              122514698                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   261123586                       # Number of instructions simulated
sim_ops                                     312340919                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.118205                       # Number of seconds simulated
sim_ticks                                118204828672                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  62626221                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 61925989                       # number of cc regfile writes
system.cpu.committedInsts                   261123586                       # Number of Instructions Simulated
system.cpu.committedOps                     312340919                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.951004                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.951004                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                         7220553                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1872519                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 33205039                       # Number of branches executed
system.cpu.iew.exec_nop                        244239                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.316001                       # Inst execution rate
system.cpu.iew.exec_refs                    105343722                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   37282887                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 8089588                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              67822985                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts             177305                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             38642653                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           335652048                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              68060835                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           4173709                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             326801785                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                 535603                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 60249                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1808759                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                751576                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          22480                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1044370                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         828149                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 304470639                       # num instructions consuming a value
system.cpu.iew.wb_count                     322478486                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.639239                       # average fanout of values written-back
system.cpu.iew.wb_producers                 194629444                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.298591                       # insts written-back per cycle
system.cpu.iew.wb_sent                      322836204                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                359559379                       # number of integer regfile reads
system.cpu.int_regfile_writes               212814378                       # number of integer regfile writes
system.cpu.ipc                               1.051521                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.051521                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           4664349      1.41%      1.41% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             179317138     54.18%     55.59% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult              1824767      0.55%     56.14% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 91819      0.03%     56.17% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 604      0.00%     56.17% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   4      0.00%     56.17% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                 605      0.00%     56.17% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     56.17% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     56.17% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                 606      0.00%     56.17% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc               6518      0.00%     56.17% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     56.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd             16019993      4.84%     61.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc           3397414      1.03%     62.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu              5257557      1.59%     63.62% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp              1660055      0.50%     64.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    1      0.00%     64.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             4556225      1.38%     65.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult              408937      0.12%     65.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc          2871354      0.87%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift            4086908      1.23%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     67.73% # Type of FU issued
